Platform,Hashtag,Content_Type,Region,Views,Views_norm,Engagement_Level
Instagram,#Fitness,Live Stream,UK,2085067,0.8140073722021618,Low
Instagram,#Viral,Live Stream,India,4121250,1.6089304960886912,Medium
Twitter,#Fitness,Live Stream,USA,1706185,0.6436468116128706,Medium
Twitter,#Education,Video,Canada,697238,0.2630283443092834,Medium
TikTok,#Education,Live Stream,UK,492746,0.1859953113371779,Medium
Twitter,#Viral,Post,USA,2611265,0.985082152009473,Medium
Instagram,#Challenge,Reel,UK,4248915,1.6587707415926434,Medium
YouTube,#Dance,Post,Canada,3239323,1.225550946704194,Low
Twitter,#Fashion,Live Stream,Canada,3551156,1.3396497079390075,Low
TikTok,#Tech,Post,Brazil,4569045,1.7246633098768458,Medium
YouTube,#Tech,Post,Brazil,651443,0.24646402516014,Low
TikTok,#Comedy,Post,India,3484442,1.3152615640235314,High
TikTok,#Gaming,Live Stream,Australia,497423,0.1877607240876091,Low
YouTube,#Viral,Live Stream,Japan,1128302,0.4268767221633148,Medium
YouTube,#Education,Live Stream,USA,2677335,1.0129309253489922,Medium
YouTube,#Education,Shorts,India,1050909,0.3975962013821894,Low
Twitter,#Education,Live Stream,Canada,1015391,0.3830494229467522,High
Twitter,#Fashion,Post,Canada,1217360,0.4592408692990761,Medium
TikTok,#Challenge,Tweet,Brazil,3371506,1.2726319607772838,Low
YouTube,#Music,Reel,USA,2477176,0.9372036663070984,High
Instagram,#Dance,Reel,Canada,2912775,1.1371434700017562,Medium
YouTube,#Music,Video,Brazil,962239,0.364049190959252,Low
TikTok,#Challenge,Post,Brazil,3069640,1.158687533725398,Medium
YouTube,#Education,Tweet,USA,1106136,0.4184905370608582,Medium
Instagram,#Tech,Reel,Canada,4018134,1.5686741473996573,Medium
Instagram,#Tech,Video,Brazil,1135196,0.4431790023507183,Medium
TikTok,#Education,Live Stream,Canada,136335,0.0514619515351807,Low
Instagram,#Dance,Shorts,Brazil,2930383,1.1440176096863492,Low
Twitter,#Fashion,Reel,India,963339,0.3634131561655572,Low
TikTok,#Dance,Tweet,Germany,2542362,0.9596575349608326,High
YouTube,#Music,Shorts,USA,929670,0.3517271814581281,Medium
Instagram,#Fashion,Reel,Germany,2808211,1.0963218240465198,Low
Twitter,#Comedy,Tweet,Canada,3737771,1.410048961096863,Medium
YouTube,#Challenge,Video,USA,4446755,1.6823653584442206,Low
TikTok,#Gaming,Post,UK,2013957,0.7602021309857185,Medium
TikTok,#Tech,Reel,Canada,1036784,0.3913516555576396,Medium
Twitter,#Education,Video,USA,3980555,1.5016375915857134,Low
TikTok,#Gaming,Video,Brazil,4198164,1.5846680038489045,High
Instagram,#Education,Tweet,USA,3123278,1.2193235600759225,Low
TikTok,#Gaming,Video,Japan,2064157,0.7791509700003962,Low
TikTok,#Education,Post,USA,2074835,0.783181561693598,Medium
TikTok,#Education,Reel,USA,4860381,1.834633010338601,High
Instagram,#Fashion,Reel,Brazil,3599873,1.405385611585389,Low
TikTok,#Gaming,Reel,Brazil,3940481,1.4874011973983234,Medium
TikTok,#Fashion,Reel,UK,3402318,1.284262471289639,Medium
Instagram,#Tech,Post,Germany,2836169,1.1072365899087333,High
Instagram,#Fashion,Tweet,Australia,3207625,1.2522525162308735,Low
Twitter,#Tech,Post,Australia,3036452,1.145481086995563,High
TikTok,#Music,Reel,Japan,4172163,1.5748534866532744,High
Twitter,#Fitness,Video,India,1588694,0.599324122371547,Low
TikTok,#Education,Reel,Germany,4698854,1.7736619123401185,High
TikTok,#Dance,Shorts,Germany,1435830,0.5419783171801703,High
TikTok,#Dance,Shorts,Australia,3990883,1.506426284729355,Medium
Twitter,#Education,Post,Canada,778600,0.2937216113855069,Low
TikTok,#Comedy,Live Stream,Brazil,4103458,1.5489196224201385,Low
TikTok,#Dance,Video,Australia,4149798,1.566411439152014,Medium
Twitter,#Music,Video,Japan,3312891,1.249765839795201,Low
TikTok,#Music,Video,India,1154890,0.4359327627422514,Low
YouTube,#Fitness,Video,Germany,2289467,0.8661866844701843,High
Twitter,#Gaming,Post,India,950724,0.3586542322924154,Medium
Twitter,#Education,Post,Japan,4641254,1.7508818439884786,High
YouTube,#Challenge,Reel,USA,633478,0.2396672275707854,Low
Twitter,#Fashion,Reel,Australia,513065,0.1935503192210443,Medium
Twitter,#Gaming,Tweet,Japan,2165655,0.8169787776844079,High
Instagram,#Education,Video,USA,4029746,1.573207456691882,Low
YouTube,#Music,Video,Japan,505913,0.1914048571568685,High
TikTok,#Challenge,Reel,USA,4486868,1.6936442113965835,Low
Instagram,#Fitness,Live Stream,UK,4184048,1.6334467514222375,Medium
Twitter,#Fitness,Post,Germany,2435410,0.9187420364556608,Low
Instagram,#Education,Video,USA,1171718,0.4574371423757474,High
Twitter,#Comedy,Shorts,Brazil,4098970,1.5463088536101353,High
YouTube,#Viral,Video,Australia,1538823,0.5821913975420753,Low
Twitter,#Fitness,Video,USA,2595660,0.9791952707537952,High
TikTok,#Gaming,Shorts,Australia,3521130,1.329110070114577,Low
Instagram,#Gaming,Tweet,India,3589308,1.4012610496949005,High
YouTube,#Comedy,Tweet,UK,1035365,0.3917153540830562,High
Instagram,#Education,Reel,UK,2315963,0.904148862241566,Medium
YouTube,#Education,Reel,Canada,2676777,1.0127198141296847,Medium
Instagram,#Viral,Video,Canada,2950546,1.1518892179587512,Medium
TikTok,#Fashion,Tweet,USA,3368170,1.271372731156707,High
YouTube,#Fashion,Reel,Japan,4736019,1.7918042038595874,Medium
TikTok,#Gaming,Reel,Japan,2258063,0.8523440691633459,Low
YouTube,#Comedy,Live Stream,Germany,4989820,1.8878261367833715,High
YouTube,#Tech,Post,Germany,4766161,1.803207993057379,Medium
TikTok,#Challenge,Reel,UK,4706101,1.776397415056042,Low
Twitter,#Fashion,Live Stream,Canada,1726804,0.6514251906331092,High
YouTube,#Dance,Tweet,Canada,3218932,1.2178363071470255,Medium
Instagram,#Education,Live Stream,Germany,1374292,0.5365217614390585,Low
Twitter,#Gaming,Shorts,Japan,2307722,0.8705725975722898,High
TikTok,#Fitness,Post,USA,3943560,1.4885634180223513,High
YouTube,#Viral,Tweet,USA,4397362,1.6636782321803192,Medium
Instagram,#Tech,Reel,India,2904623,1.1339609400887165,High
YouTube,#Dance,Reel,USA,4648895,1.7588421001482082,High
YouTube,#Education,Tweet,Japan,2182075,0.8255564764704089,High
YouTube,#Tech,Tweet,Germany,3686801,1.3948477678391349,Low
Instagram,#Music,Video,UK,436676,0.1704777272211162,Low
Instagram,#Challenge,Tweet,Germany,1021135,0.3986497402786838,High
Twitter,#Music,Tweet,USA,2616896,0.9872064088727042,High
YouTube,#Dance,Post,USA,2286789,0.8651735019517156,Medium
Twitter,#Tech,Tweet,Canada,803980,0.3032960456225531,Low
YouTube,#Fitness,Reel,Japan,1658169,0.6273442283296685,High
Twitter,#Dance,Post,Japan,723296,0.2728585494845769,Low
TikTok,#Tech,Tweet,Japan,3206060,1.2101815699481533,High
TikTok,#Tech,Post,Japan,1655182,0.6247764394022334,High
TikTok,#Viral,Video,Australia,1476674,0.5573955757601602,Low
Twitter,#Viral,Shorts,Brazil,1771174,0.6681634746007113,Low
TikTok,#Challenge,Reel,Australia,3327212,1.2559124413486755,High
TikTok,#Gaming,Post,India,690673,0.2607062049558651,Medium
YouTube,#Gaming,Tweet,Australia,3569008,1.350282492111729,Medium
TikTok,#Dance,Tweet,Brazil,3099684,1.1700281496488436,Low
Twitter,#Music,Reel,Japan,3710671,1.3998256684324046,Medium
Instagram,#Education,Post,Canada,3188483,1.2447795049949308,Low
TikTok,#Comedy,Live Stream,USA,2801347,1.0574158033316747,High
TikTok,#Challenge,Live Stream,USA,2248578,0.8487637954969273,Medium
Twitter,#Music,Live Stream,Australia,1609482,0.6071662555047116,High
YouTube,#Challenge,Live Stream,Brazil,4251376,1.6084465431806243,Low
YouTube,#Challenge,Reel,India,1358058,0.5138015775454329,Medium
TikTok,#Tech,Tweet,India,2606224,0.9837633269360386,Medium
Instagram,#Viral,Video,Brazil,3442475,1.3439376425897285,Medium
Twitter,#Dance,Live Stream,Australia,3909627,1.4748804808069422,High
YouTube,#Education,Post,Germany,4022893,1.5220033089135214,Medium
TikTok,#Fitness,Live Stream,Canada,2288198,0.8637190345758421,High
YouTube,#Fashion,Post,Germany,1707547,0.6460256795607929,Medium
Twitter,#Tech,Shorts,India,1723036,0.6500037379851507,Low
Instagram,#Tech,Video,Germany,1368137,0.534118857659034,Low
Instagram,#Comedy,Shorts,Brazil,1753723,0.6846511171106212,High
Twitter,#Music,Live Stream,USA,4289386,1.618142008443917,Low
Twitter,#Comedy,Video,USA,3356274,1.2661317846535844,High
Instagram,#Dance,Tweet,Germany,2213124,0.8640006539825996,High
TikTok,#Comedy,Video,Canada,1714956,0.6473391466385549,Medium
TikTok,#Comedy,Shorts,UK,2347135,0.8859658020062815,Low
YouTube,#Tech,Reel,Canada,3849864,1.4565402924877806,Medium
TikTok,#Fitness,Shorts,USA,2458064,0.9278378291588546,Medium
TikTok,#Fashion,Tweet,UK,4138951,1.562317055550576,High
Twitter,#Tech,Reel,USA,786091,0.2965475407341953,Low
Instagram,#Comedy,Tweet,Australia,2428341,0.9480210833612396,High
Instagram,#Music,Reel,Australia,1934060,0.7550544410713483,Medium
YouTube,#Comedy,Live Stream,UK,3328075,1.2591289806396462,Medium
Instagram,#Challenge,Shorts,India,4618662,1.8031194765971457,Low
YouTube,#Education,Video,Brazil,2637799,0.997973052290672,Low
Twitter,#Viral,Post,Japan,1021175,0.3852313980305613,Medium
Instagram,#Fashion,Post,India,136708,0.0533706206270652,Medium
TikTok,#Tech,Live Stream,Brazil,4820047,1.819408259884059,Low
YouTube,#Tech,Video,Canada,1417619,0.5363356193611606,Medium
Instagram,#Challenge,Shorts,Canada,3373662,1.317073139289188,Medium
Twitter,#Viral,Live Stream,Australia,280264,0.1057277083140864,Low
YouTube,#Dance,Post,Brazil,1412186,0.5342801224893007,Low
YouTube,#Comedy,Live Stream,Australia,2440607,0.9233683147320854,Low
YouTube,#Viral,Live Stream,Canada,1212383,0.4586875508919829,Low
YouTube,#Education,Shorts,India,2561337,0.9690447618772442,Low
YouTube,#Dance,Post,Japan,886874,0.3355359346095883,High
TikTok,#Tech,Tweet,Brazil,1622096,0.6122875691305277,Medium
Instagram,#Gaming,Post,Brazil,946358,0.3694568993430395,Low
Twitter,#Music,Video,Germany,4119667,1.5541166576055705,High
TikTok,#Education,Post,USA,3974573,1.500269799384148,Low
YouTube,#Challenge,Post,India,2764814,1.0460273381694292,Low
Instagram,#Dance,Post,Canada,3105914,1.2125446776654685,Low
YouTube,#Fitness,Video,UK,2289887,0.8663455853879427,High
YouTube,#Education,Video,Japan,1213734,0.459198682177439,Medium
Twitter,#Dance,Shorts,Germany,1661537,0.6268036540157218,Low
Instagram,#Music,Live Stream,UK,643763,0.2513242154573355,High
TikTok,#Dance,Reel,Australia,1296499,0.4893854747747113,Low
TikTok,#Comedy,Post,Germany,1205102,0.4548861313598808,High
Twitter,#Comedy,Post,India,3264905,1.2316634441569465,Low
TikTok,#Fashion,Tweet,Japan,4295107,1.621260778761253,Medium
YouTube,#Tech,Tweet,Canada,736289,0.2785642805604394,Medium
Twitter,#Gaming,Tweet,UK,961783,0.3628261656347123,Medium
Instagram,#Challenge,Live Stream,UK,3171066,1.237979931455258,Medium
YouTube,#Comedy,Live Stream,Canada,2389579,0.9040626098954816,Medium
TikTok,#Challenge,Shorts,India,804183,0.3035524742099698,Medium
Twitter,#Music,Reel,India,278830,0.1051867414623951,Medium
YouTube,#Fitness,Shorts,UK,894414,0.3383885844188693,High
YouTube,#Viral,Reel,UK,3175002,1.2012160278205382,Low
YouTube,#Dance,Reel,Brazil,2362838,0.8939455397960143,High
TikTok,#Dance,Video,USA,2010391,0.7588560839752337,Low
Twitter,#Music,Tweet,UK,1333519,0.5030610705024272,Medium
TikTok,#Challenge,Video,USA,2851867,1.0764854317583985,Low
Twitter,#Comedy,Post,Australia,1068462,0.4030701006218616,Medium
Twitter,#Tech,Live Stream,Australia,370537,0.1397825901848851,Low
Twitter,#Fitness,Video,Germany,2055018,0.7752417138276672,High
Instagram,#Dance,Video,Brazil,1179104,0.4603206269117768,Medium
Twitter,#Fashion,Reel,USA,842477,0.3178187798551601,Low
Instagram,#Fashion,Live Stream,India,739337,0.2886361774186775,Medium
Twitter,#Fitness,Shorts,Australia,4500031,1.697606417421955,Medium
YouTube,#Education,Tweet,UK,1215133,0.4597279735677817,Low
Instagram,#Challenge,Post,Brazil,449348,0.1754248590977158,High
Twitter,#Dance,Reel,India,1190740,0.4491986534050584,Medium
YouTube,#Fashion,Post,Brazil,1118979,0.4233495001245977,Medium
Instagram,#Fashion,Tweet,Brazil,4007152,1.56438678926607,Medium
Twitter,#Fashion,Post,Japan,3390112,1.2788969424831025,Low
Instagram,#Viral,Reel,Canada,4223266,1.6487574062467705,Low
Twitter,#Tech,Tweet,USA,837863,0.3160781793993,High
Twitter,#Viral,Tweet,Germany,3425267,1.292158929701517,Low
Twitter,#Education,Shorts,Germany,4347648,1.6401209559426873,High
TikTok,#Music,Video,UK,2454558,0.9265144301631284,High
Twitter,#Fitness,Video,Brazil,4328041,1.632724347113461,Low
TikTok,#Tech,Live Stream,Germany,4511744,1.7030340783154905,Medium
YouTube,#Fashion,Live Stream,Japan,4610463,1.7443019095022814,Medium
Instagram,#Education,Live Stream,Germany,2277825,0.8892598379746978,Low
YouTube,#Music,Live Stream,Japan,3893120,1.4729055736748178,High
TikTok,#Gaming,Video,Canada,323133,0.1219720158830641,Low
TikTok,#Comedy,Reel,Japan,4714288,1.77948773666985,High
Instagram,#Viral,Reel,Japan,2449412,0.9562471736210114,Medium
Instagram,#Fashion,Video,Germany,3525460,1.3763348757636245,Low
YouTube,#Viral,Reel,Canada,4742368,1.794206256066368,Medium
Instagram,#Fashion,Reel,Australia,2884482,1.1260979205869337,High
TikTok,#Education,Tweet,Japan,2816091,1.062981175491683,Medium
Twitter,#Challenge,Tweet,Canada,4467747,1.685427495636738,Medium
YouTube,#Music,Reel,USA,4985164,1.8860646066093645,High
TikTok,#Comedy,Shorts,Germany,4745468,1.7912571550060583,High
YouTube,#Tech,Video,UK,4193386,1.5865068664644166,Low
YouTube,#Education,Tweet,USA,1406438,0.532105449929122,Medium
YouTube,#Dance,Live Stream,Germany,4920264,1.8615106314605132,Medium
TikTok,#Fitness,Live Stream,Australia,675163,0.2548516931407725,High
YouTube,#Fitness,Shorts,Germany,3156979,1.1943972867711123,Medium
Twitter,#Dance,Reel,Canada,2825287,1.0658205115162145,High
Instagram,#Comedy,Live Stream,India,4880933,1.905509724735375,Low
Instagram,#Viral,Live Stream,Germany,1591371,0.6212691131310055,High
Twitter,#Tech,Shorts,India,3671946,1.3852169227338385,Low
Instagram,#Music,Shorts,Germany,4747943,1.853590606342937,High
Twitter,#Fashion,Live Stream,Germany,2578412,0.97268857880263,Medium
YouTube,#Viral,Video,India,1449220,0.5482914000804032,Low
YouTube,#Challenge,Post,Japan,597344,0.2259964519463079,Medium
TikTok,#Comedy,Video,Canada,1009899,0.3812034576112331,Low
YouTube,#Fashion,Shorts,USA,3120029,1.1804177893635617,Medium
TikTok,#Gaming,Tweet,Australia,2364689,0.8925918561908164,High
YouTube,#Gaming,Video,Canada,853053,0.3227402490393372,Low
TikTok,#Dance,Post,Germany,318179,0.1201020447978308,Low
Twitter,#Fashion,Tweet,UK,2205622,0.8320560595264892,Medium
TikTok,#Viral,Post,Canada,963137,0.363552349842222,Low
Twitter,#Tech,Video,Canada,4356359,1.6434071220829125,Low
Instagram,#Challenge,Tweet,Australia,1180989,0.4610565283943675,Medium
YouTube,#Challenge,Reel,Brazil,3465465,1.311108497522553,High
Instagram,#Comedy,Reel,India,2744810,1.0715701583182773,Medium
Twitter,#Fitness,Video,UK,4517381,1.7041515881868388,Low
Twitter,#Fitness,Video,Canada,4496073,1.6961132885523635,Medium
Instagram,#Fashion,Live Stream,Germany,323411,0.1262592224860272,High
YouTube,#Education,Reel,Germany,1690683,0.6396454293772763,High
TikTok,#Music,Reel,Canada,4125312,1.5571687843290385,Medium
Instagram,#Education,Reel,India,3262393,1.2736338702884498,Low
TikTok,#Fitness,Shorts,Brazil,1323089,0.4994223199818881,High
YouTube,#Fitness,Reel,Germany,4993673,1.8892838635360447,Low
YouTube,#Gaming,Shorts,USA,1871397,0.7080159542624767,High
Twitter,#Music,Live Stream,Germany,1091382,0.4117165164103998,Medium
Instagram,#Gaming,Tweet,Brazil,3717231,1.4512020180542946,Low
Twitter,#Challenge,Shorts,UK,3351844,1.2644605969597265,High
YouTube,#Education,Post,USA,1088400,0.4117803783052338,Low
TikTok,#Music,Tweet,UK,1068851,0.4034558870453621,Low
YouTube,#Tech,Shorts,Brazil,4256215,1.6102773087545117,Low
Twitter,#Education,Post,Canada,2875825,1.084885631983978,High
YouTube,#Tech,Tweet,Germany,1064061,0.4025720701211368,Low
TikTok,#Fitness,Reel,Canada,3806689,1.4368991442219938,High
Twitter,#Gaming,Post,Japan,4581334,1.728277427145145,High
TikTok,#Challenge,Shorts,India,1122575,0.4237349194601935,Medium
TikTok,#Gaming,Video,UK,3589440,1.354894834917219,High
Twitter,#Viral,Post,Canada,3436501,1.2963968806163702,Medium
YouTube,#Education,Live Stream,Australia,4946463,1.8714226437089687,Low
Twitter,#Challenge,Reel,USA,1687923,0.6367575949841497,Medium
TikTok,#Dance,Live Stream,Brazil,924656,0.3490270455768075,High
YouTube,#Gaming,Shorts,USA,3630952,1.373718107467976,Medium
Twitter,#Tech,Video,Germany,3270361,1.233721683447621,Low
TikTok,#Fitness,Video,UK,534126,0.2016148921823444,Medium
TikTok,#Comedy,Video,Germany,4126231,1.557515676421757,Medium
YouTube,#Tech,Tweet,India,4883178,1.8474796804224505,Medium
Instagram,#Music,Post,UK,1749951,0.6831785333481107,Low
TikTok,#Dance,Live Stream,Japan,1166376,0.4402683477008687,Low
Instagram,#Gaming,Post,UK,4096709,1.599349722463089,Medium
TikTok,#Gaming,Reel,Brazil,4482940,1.692161521363722,High
Instagram,#Fashion,Tweet,UK,183630,0.0716889067629399,Low
Instagram,#Fitness,Shorts,Canada,1270114,0.4958508093683207,Medium
YouTube,#Viral,Post,Australia,3869946,1.464138026369741,Low
YouTube,#Gaming,Live Stream,India,4596667,1.7390823926894377,Medium
Instagram,#Dance,Tweet,USA,1253544,0.4893819034974831,Medium
Instagram,#Music,Video,Japan,1581916,0.6175778937581166,Low
YouTube,#Challenge,Tweet,USA,2572752,0.9733634618206052,Low
Instagram,#Fitness,Live Stream,USA,1760362,0.6872429738442658,High
Instagram,#Education,Video,Australia,2065185,0.8062454659544857,Medium
Twitter,#Dance,Shorts,Brazil,2321786,0.875878146946199,High
Instagram,#Viral,Post,India,1834220,0.7160770384072306,Low
YouTube,#Fitness,Video,India,3627837,1.3725395923279349,Medium
Twitter,#Dance,Post,Brazil,1869418,0.7052253625906391,High
YouTube,#Dance,Post,USA,3319990,1.2560701379727977,Medium
Instagram,#Music,Tweet,Germany,1401937,0.5473143325192822,High
Twitter,#Tech,Shorts,Brazil,3069341,1.157888240960189,High
YouTube,#Education,Reel,UK,4571329,1.729496127322387,Low
Twitter,#Viral,Live Stream,UK,3533891,1.3331366028522225,Low
TikTok,#Education,Reel,Brazil,2967157,1.1200035921170073,Low
Twitter,#Fashion,Post,Germany,2307580,0.8705190290277011,Medium
Instagram,#Viral,Live Stream,UK,538315,0.2101574570826773,Medium
YouTube,#Tech,Reel,Japan,2864531,1.0837538210649298,High
YouTube,#Gaming,Tweet,Brazil,4812846,1.8208705867372572,Medium
Twitter,#Comedy,Post,UK,4988430,1.8818516541019836,Medium
TikTok,#Music,Live Stream,India,494177,0.18653546648917,Medium
TikTok,#Gaming,Reel,Australia,2263835,0.8545228081831212,High
Instagram,#Music,Live Stream,Japan,2243545,0.8758769717554875,Medium
Instagram,#Education,Reel,Canada,1786017,0.6972586515821259,Medium
TikTok,#Challenge,Video,Australia,2793453,1.0544360795232712,Medium
Twitter,#Viral,Tweet,USA,4561911,1.720950231077921,Low
YouTube,#Gaming,Post,Brazil,4608473,1.7435490218205214,High
TikTok,#Fitness,Tweet,Canada,2090020,0.7889133967620816,Low
TikTok,#Challenge,Post,Japan,2954922,1.1153852844408203,Medium
TikTok,#Comedy,Reel,Germany,2972779,1.122125711099886,High
YouTube,#Challenge,Tweet,USA,1149619,0.4349417004105885,Low
TikTok,#Fitness,Live Stream,India,3654157,1.379323361102735,Low
Twitter,#Challenge,Video,Brazil,4822497,1.8192545462904868,Low
Instagram,#Comedy,Post,Japan,4059730,1.5849131702483816,Medium
YouTube,#Education,Post,Japan,1704415,0.6448407327169378,High
TikTok,#Gaming,Shorts,UK,1245862,0.4702716827192086,Low
Twitter,#Gaming,Video,Australia,536923,0.2025505891984851,Low
YouTube,#Tech,Post,Brazil,540051,0.2043204750864753,Medium
YouTube,#Tech,Post,Germany,2550618,0.9649893834547396,High
Instagram,#Challenge,Video,Germany,3262707,1.273756455469104,High
Instagram,#Music,Post,Canada,3707557,1.4474253013738791,Medium
YouTube,#Fitness,Post,Canada,3789717,1.433784546058228,Medium
YouTube,#Fitness,Video,USA,1980686,0.7493638647407941,Medium
TikTok,#Fashion,Live Stream,UK,2133430,0.8052992354399133,High
TikTok,#Gaming,Video,Japan,3067711,1.1579594000509097,High
TikTok,#Tech,Live Stream,India,2412395,0.9105992927253624,High
Instagram,#Dance,Video,UK,712815,0.2782820240386922,Low
Twitter,#Education,Tweet,UK,1582056,0.5968199815336623,Medium
YouTube,#Fitness,Shorts,India,4995243,1.8898778503000464,Medium
TikTok,#Fashion,Shorts,Japan,3678890,1.3886592502531336,Medium
Instagram,#Fitness,Shorts,Canada,2249841,0.8783349217472071,High
Instagram,#Dance,Shorts,Australia,1684281,0.6575410530501078,High
TikTok,#Music,Reel,UK,1873057,0.7070170429943227,High
YouTube,#Gaming,Post,Australia,4400045,1.6646933063763802,Low
Twitter,#Tech,Video,Germany,4295904,1.6206008800891918,High
TikTok,#Education,Live Stream,India,1325071,0.5001704594027465,High
YouTube,#Challenge,Tweet,Brazil,655188,0.2478808916768187,High
Twitter,#Education,Reel,India,3918763,1.4783269753376616,Low
Instagram,#Challenge,Post,Germany,990310,0.3866157014453362,Medium
Twitter,#Challenge,Live Stream,India,239932,0.0905127326778158,Low
TikTok,#Viral,Reel,India,1093638,0.4128121594090436,High
Instagram,#Viral,Shorts,India,4459322,1.7409133533950172,High
Instagram,#Comedy,Post,Brazil,4856239,1.895869220114104,Medium
TikTok,#Fitness,Tweet,Brazil,3716784,1.4029629814408269,Low
Twitter,#Tech,Post,UK,2121741,0.8004125166487244,Medium
Twitter,#Comedy,Post,India,1491502,0.5626590943035016,Low
TikTok,#Music,Post,USA,863776,0.3260468599351029,Medium
Instagram,#Comedy,Post,Germany,671118,0.262003570924853,High
Twitter,#Fashion,Reel,India,1732622,0.6536199919881579,High
YouTube,#Fitness,Post,Australia,3944670,1.492408769652064,Low
Twitter,#Fitness,Tweet,India,4833726,1.8234906109889808,Medium
YouTube,#Music,Post,India,1026032,0.3881843486891543,Medium
YouTube,#Dance,Shorts,Brazil,4106517,1.5536412383102478,High
YouTube,#Tech,Post,Canada,2479066,0.9379187204370109,High
Twitter,#Challenge,Post,USA,4289404,1.6181487988228087,High
Instagram,#Comedy,Tweet,Germany,4751448,1.8549589536620248,High
YouTube,#Gaming,Tweet,USA,3416751,1.2926782610756944,High
Instagram,#Challenge,Live Stream,Australia,4727831,1.8457389084024247,Low
Twitter,#Fitness,Post,Brazil,3130764,1.1810596544409648,Medium
Instagram,#Challenge,Post,Germany,735519,0.2871456353175998,Medium
TikTok,#Dance,Post,Brazil,515113,0.1944381137722635,Low
TikTok,#Music,Shorts,Germany,4632593,1.7486505772414818,Medium
YouTube,#Education,Shorts,USA,1763821,0.6673161325273022,Medium
YouTube,#Tech,Tweet,USA,2579953,0.9760878558891242,Low
Instagram,#Comedy,Video,Canada,3239663,1.264760108644265,High
TikTok,#Education,Live Stream,Brazil,2768113,1.044871067956898,Low
Twitter,#Gaming,Shorts,USA,829927,0.3130843767946822,High
Instagram,#Gaming,Reel,USA,4631785,1.8082426782714367,High
Instagram,#Education,Tweet,Canada,3923269,1.5316389780914488,High
Instagram,#Comedy,Tweet,Germany,1684045,0.6574489189652848,Low
TikTok,#Fitness,Post,Brazil,4473700,1.6886737270909007,High
YouTube,#Fitness,Live Stream,UK,3822229,1.4460849904347992,Low
Twitter,#Fitness,Tweet,Australia,4253475,1.6045948253120588,High
YouTube,#Fashion,Tweet,Japan,2829354,1.0704451125316303,Medium
Twitter,#Music,Tweet,Japan,4577129,1.726691119187431,High
YouTube,#Comedy,Video,UK,1194963,0.4520969461601957,High
Twitter,#Education,Post,Brazil,4558750,1.7197577650959153,High
YouTube,#Tech,Live Stream,USA,2624457,0.9929252998032148,Medium
YouTube,#Gaming,Video,UK,3810909,1.441802232365693,High
Instagram,#Tech,Shorts,Brazil,2804201,1.0947563254018573,High
TikTok,#Challenge,Reel,Canada,3678271,1.3884255982342075,Medium
Instagram,#Gaming,Shorts,India,3433826,1.34056108454043,Medium
Instagram,#Challenge,Live Stream,USA,807398,0.3152071009235104,Low
TikTok,#Viral,Tweet,UK,344152,0.1299059929199069,Low
Twitter,#Fitness,Post,Brazil,1595568,0.601917292621565,Low
YouTube,#Fitness,Reel,India,2632783,0.996075321330015,Medium
TikTok,#Dance,Post,Germany,2252242,0.8501468342648512,Low
Twitter,#Gaming,Post,India,2532021,0.9551878861828188,Low
YouTube,#Challenge,Video,UK,4138006,1.5655546454514215,High
Instagram,#Tech,Shorts,India,4854421,1.8951594753420349,Medium
Twitter,#Viral,Video,Brazil,4066022,1.5338794422924755,Low
YouTube,#Music,Live Stream,Brazil,2007848,0.7596402140935382,High
TikTok,#Fitness,Live Stream,Brazil,4321729,1.6313097029096344,High
YouTube,#Dance,Live Stream,USA,111610,0.0422260272166916,Low
Instagram,#Gaming,Video,Germany,2048086,0.7995700391901251,Low
Twitter,#Music,Post,USA,4894673,1.8464824566724036,Medium
Instagram,#Gaming,Reel,USA,991012,0.3868897613078182,High
YouTube,#Tech,Post,Australia,1469953,0.5561354303848891,High
Instagram,#Fitness,Reel,USA,1913736,0.7471199786139612,High
YouTube,#Fitness,Reel,Canada,2911881,1.1016680078645924,Low
YouTube,#Comedy,Reel,Canada,2206955,0.8349694641699993,Medium
YouTube,#Challenge,Live Stream,Australia,4574924,1.7308562435112949,Medium
YouTube,#Gaming,Shorts,USA,4910553,1.857836615240629,Low
YouTube,#Tech,Reel,UK,3101726,1.173493114368963,High
Instagram,#Comedy,Shorts,USA,1664101,0.6496628080004094,High
TikTok,#Education,Tweet,Brazil,2417241,0.9124284973840302,Low
TikTok,#Viral,Post,Japan,2758290,1.041163210474006,Low
Twitter,#Gaming,Post,Brazil,271748,0.1025151046118529,Low
YouTube,#Viral,Shorts,India,1151377,0.4356068142520627,High
Twitter,#Tech,Video,Germany,1188499,0.4483532512330639,Low
YouTube,#Fitness,Live Stream,Japan,1797416,0.6800263142703786,Low
YouTube,#Gaming,Video,India,4334449,1.6398760097066722,Medium
YouTube,#Viral,Reel,Brazil,4938299,1.8683339125361609,Medium
YouTube,#Fashion,Tweet,Germany,4629556,1.7515254695564726,Low
Twitter,#Viral,Post,Japan,4774320,1.8010800971873278,High
TikTok,#Gaming,Video,Japan,2497597,0.9427602286163697,Low
YouTube,#Comedy,Shorts,Brazil,1882126,0.7120751160401657,Low
YouTube,#Comedy,Reel,Brazil,1194460,0.4519066433944042,Medium
Twitter,#Comedy,Tweet,UK,1622856,0.6122115070211125,Low
Twitter,#Gaming,Tweet,India,1301521,0.4909900402929313,Medium
